AW_CODE,Grants,Value,DURATION
"500,754",,,This Scholarship is awarded for a maximum of two years subject to the student annually meeting the conditions of renewal.  An extension for a third year may be permitted on presenting a strong justification.
"500,755",,,Up to 1 year of full-time study (or equivalent)
"500,756",,,Up to three years. Annual renewal of the scholarship will be dependent on the recipient maintaining satisfactory progress with his or her doctoral study and completing the reporting requirements of PhD candidature.
"500,757",,,Up to three years. Annual renewal of the scholarship will be dependent on the recipient maintaining satisfactory progress with his or her doctoral study and completing the reporting requirements of PhD candidature.
"500,758",Determined annually,"$3,000 towards tuition fees",One year only
"500,759",,,Up to three years
"500,761",Up to 10,"Tuition fees, for up to first 120ptsof courses in first year of BCom or BProp degree",1 year
"500,762",,,1 Year
"500,764",,"The grant will be approximately $10,000 per annum dependant on interest available.",One Year
"500,765",,,Scholarships are usually awarded for one year.
"500,766",,,"Two PhD scholarships (NZ$25,000 for three years) and associated university fees are available for the successful candidates (PhD candidates in
New Zealand typically complete in three years). For fieldwork purposes there will be funding for travel and accommodation"
"500,767",,,A Graduate Scholarships (Secondary) - Tipu  Whakarito Te Reo Māori me Te Waka Whakarei covers your compulsory course fees to study for one year of full-time study towards an approved Graduate Diploma of Secondary Teaching.
"500,768",60,See 'Additional Information'.,A Career Changer Māori Medium Scholarship covers your compulsory course fees for up to three full-time years of study.
"500,770",Varies,Varies,Varies
"500,772","Normally, one scholarship is available annually.","$3,750 (subject to funds available)","Normally, one scholarship is available annually to students enrolled, or intending to enrol, full time or part time, at Victoria University of Wellington in a programme for an MA by thesis in Criminology or a PhD in Criminology. If, in any year, funds permit, an additional scholarship may be available.

Normally, the scholarship is tenable for one year. Tenure may be extended for a further year on the recommendation of the Institute of
Criminology, the recipient is able to demonstrate by way of a report, the recipient's:

a. satisfactory progress on his or her thesis, and
b. satisfactory contribution to the academic programme of the Institute of Criminology."
"500,773",,"$7,000 stipend to professional dev.costs plus employment up to $3,000in aresearch group.",One calendar year - the year of application.
"500,775",,,Up to three years
"500,776",,,Up to 2 years
"500,777",1,"$1,000",1 Year
"500,778",Up to 2,"Up to $2,000",1 Year.
"500,779",1,"Up to $5,000",1 Year
"500,780",1,"$1,000",1 Year
"500,782",,,One year
"500,785",1 or more,"Up to $30,000",Up to 1 year
"500,786",,,Up to three years.
"500,787",,,1 year
"500,788",,,Up to 1 semester (full- time study) or  4 semesters (part-time study)
"500,790",,,One year.
"500,791",Up to two,"$2,000 or $4,000","The scholarship can be held for only one academic year.
Candidates whose programmes are spread over more than one academic year are eligible for only one year's scholarship.
Each year Auckland Council may grant one scholarship with an award of $4,000 or two scholarships with an award of $2,000 each.
For candidates who are enrolled on a part time basis the value of the award will still be $4,000 or $2,000."
"500,792",,,Up to 4 years
"500,793",,,Up to three years. Recipients must maintain a C+ GPA to retain the scholarship for the second and third years.
"500,795",One,"Up to $5,000","Up to $5,000 for a period of one year."
"500,797",,,Up to three years with evidence of satisfactory results at the completion of each academic year.
"500,798",,,One scholarship is to be awarded for one year.
"500,799",,,One scholarship is to be awarded for three years.
"500,800",,,One year (Master's students). PhD students may reapply for up to three years.
"500,802",,,"Part time, 25 week delivery."
"500,803",Varies,"up to $10,000 p.a + compulsary fees",One Year
"500,804",,,One scholarship is to be awarded for three years.
"500,805",,,One year.
"500,806",varies,"up to $10,000",One year.
"500,807",One,"Up to $10,000",One year. The recipient is encouraged to reapply in the following year and can expect to receive the scholarship again in each successive year (maximum of 2 years for Masters degrees and 3 years for PhD) if they have been progressing well with their studies and have not obtained further substantial scholarship funding from other sources.
"500,808",Varies,"Up to $25,000 plus compulsory fees",
"500,809",,,Successful recipients can only receive the Scholarship once during their degree.
"500,810",,,Up to three years
"500,811",Varies - up to 5,$5000,The scholarship will be for the first year of study only and is normally received in the form of reduced Residential College fees and/or tuition fees for the first year of study at the University of Otago.
"500,812",1,See 'Additional information',"The scholarship may be held for a maximum of three equivalent full time years or five years of enrolment, whichever period is shorter."
"500,814",Varies,"$25,000 plus domestic tuition fee waiver.",3 years of PhD study.
"500,815",1,Up to $5000,1 year
"500,816",1,Up to $5000,One year
"500,817",1,Up to $5000,1 year
"500,818",1,Maximum of $3000,The tenure of the scholarship is dependent on the schedule of the recipient. Normally a recipient would be expected to stay in the US for at least 10 working days. The recipient may visit more than one institution during their travel.
"500,819",1,$6000 tuition fee waiver,One year.
"500,820",1,$4000 per year,Up to 3 years.
"500,821",,"$5,000 in total $2,500 at the beginning of project $2,500  submission of final report",Refer to funder.
"500,822",,,3 years
"500,824",,,4 years
"500,825",1,$7000,One year
"500,826",4 (1 per division),$1250,Not applicable
"500,827",,,One year
"500,828",,,One year
"500,829",,,"The scholarship is available for up to three years.

Please note:  Tuition fees for international PhD students are currently equivalent to those for domestic students."
"500,830",,,Up to three years
"500,831",,,"Up to three years of undergraduate study in a degree programme.

Annual renewal of the scholarship will be dependent on satisfactory progress as defined under 'Conditions'."
"500,832",,"Annual stipend of $10,000 plusTuition fees plus student leviesat the domestic rate.",The scholarship is tenable for full-time study towards an AUT MSc - Applied Biostatistics Pathway for up to two years. The successful applicant must agree to follow the Applied Biostatistics pathway as outlined in the Appendix attached to the Regulations.
"500,833",,,Up 3 years
"500,835",,,
"500,836",Varies,"Up to $25,000 plus compulsory fees",Up to 36 months
"500,837",Varies,"Up to $25,000 plus compulsory fees", Up to 36 months
"500,838",Varies,"Up to $25,000 plus compulsory fees",Up to 36 months
"500,839",Varies,"Up to $25,000 plus compulsory fees",Up to 36 months
"500,840",Varies,"Up to $25,000 plus compulsory fees",Up to 36 months
"500,841",Varies,"Up to $25,000 plus compulsory fees",Up to 36 months
"500,843",,,Up to 36 months
"500,846",Multiple,US$ 500 - US$ 2000,Specific to the recipients Study Abroad programme.
"500,848",,,One academic year
"500,851",Varies,"Up to $15,000",Up to 3 Years
"500,852",,,One year only.
"500,853",,,One year only
"500,854",,,One year
"500,855",,,Up to 3 years of a full-time undergraduate degree
"500,856",,,1 Year
"500,858",,,Up to 3 years
"500,859",,,One year.  A first-time scholarship recipient may be eligible for the scholarship in a subsequent year.
"500,860",,,
"500,861",,"Stipend of $2000 per month for up to3 months, less any outstanding tuition fees.",Up to three months
"500,862",,,One year
"500,863",,,One Year
"500,864",Up to 2,"Up to $2,000",One Year
"500,869",One scholarship every two years (unless additional funds are available toallow an annual award),"Approximately $5,000 per annum (subject to funds available)",Up to two years subject to maintaining a B average.
"500,870",Varies,"Comprised of $10,000 for the first year of study, and a further $5,000 for the second and third years.","Scholarships will be comprised of $10,000 for the first year of study, and a further $5,000 for the second and third years of study, provided a Grade Point Average of 7 (a A- average) is maintained. Students must also study full-time (at least 120 points a year) in order to continue to hold the Victoria International Excellence Scholarship."
"500,871",,,One year
"500,872",,,Three years
"500,873",Determined annually,A two week study programme in ChinaA smartphone or tablet,Two weeks
"500,874",,,"Masters – up to $25,000 per annum for the research thesis year.

PhD – up to $30,000 per annum for three years."
"500,875",1,"Up to $5,000pa",Up to 3 years
"500,876",,,Up to three years
"500,877",,,Up to three years
"500,878",,Each scholarship will cover tuition and student services fees for up to 180pts.,eighteen months full-time study.
"500,879",,,The scholarship will be paid in two equal stipend payments for living costs—one in Trimester 1 and the second in Trimester 2 on confirmation of recipients maintaining a B+ average and above.
"500,880",,,Each scholarship will be tenable for 12 months. This scholarship may not be held together with a Victoria Master’s by Thesis Scholarship.
"500,881",,,Up to 4 years
"500,882",,,1 year
"500,884",,,1 year
"500,885",Varies,"$1,000",1 year
"500,886",,,Up to three years
"500,887",,,"•	Up to eighteen months full-time study, or 1.5 EFTS enrolment
•	If the scholarship is awarded to a part-time student, funding after 18 months will be allocated only if available."
"500,888",Up to 3,"Up to $10,000 per annum",1 year
"500,889",,,Up to 3 years
"500,891",,,"Three years

The Scholarship will provide a stipend to cover living expenses of NZ$25,000 pa, as well as tuition fees (students will be responsible for payment of the student levy and international insurance if applicable)."
"500,893",,,The scholarship is awarded for a maximum of one year. There is no automatic renewal. Previous recipients may reapply to be considered for the scholarship on a contestable basis for subsequent years of study in the eligible programme.
"500,894",,,The scholarship is awarded for a maximum of one year. There is no automatic renewal. Previous recipients may reapply to be considered for the scholarship on a contestable basis for subsequent years of study in the eligible programme.
"500,895",,,The scholarship is awarded for a maximum of one year. There is no automatic renewal. Previous recipients may reapply to be considered for the scholarship on a contestable basis for subsequent years of study in the eligible programme.
"500,896",,,The scholarship is awarded for a maximum of one year. There is no automatic renewal. Previous recipients may reapply to be considered for the scholarship on a contestable basis for subsequent years of study in the eligible programme.
"500,897",,,The scholarship is awarded for a maximum of one year. There is no automatic renewal. Previous recipients may reapply to be considered for the scholarship on a contestable basis for subsequent years of study in the eligible programme.
"500,901","Up to 1 award will be offered per year, subject to there being a candidate who meets the criteria.","Up to $5,000 subject to availabilityof funds.",One year
"500,902",,"•	$10,000 Stipend•	Tuition fees (domestic equiv.)•	Student ServicesLevy",The scholarship is awarded for a maximum of one year.
"500,903",One award,$2000,The scholarship will be tenable for one year and may be held concurrently with another bursary or scholarship provided the rules for those approve.
"500,904",,,One year
"500,905",,,1 year
"500,906",,,Refer to Funder
"500,907",,,Refer to Funder
"500,908",,,Refer to Funder
"500,909",,,Refer to Funder
"500,910",,,"•	The tenure of this scholarship is for one year.
•	An applicant may re-apply for one subsequent year of full-time study prior to the closing date for applications. This must be done by submitting anapplication form."
"500,911",One,Up to $2500,One Year
"500,912",One,"Up to $5,000",One year
"500,913",One,"Up to $5,000",One year
"500,915",,,One Year
"500,916",Up to 2,"Up to $2,000",One Year
"500,917",,,12 months
"500,919",,,"Scholarship funds will be paid towards student fees and/or halls of residence costs.

The scholarships will normally be awarded for one year at Victoria University of Wellington. In special circumstances the Selection Committee will consider extending the scholarships for a further year."
"500,920",,,Three years
"500,921",,,Tenure is for the period of the supported project.
"500,923",1,"$5,000",One Year
"500,924",One,"Full stipend of NZ$25,000 per annum plus fees for three years.","The project is funded through the prestigious MWC scholarship programme and accompanied with a full stipend of NZ$25,000 per annum plus fees for three years (students will be responsible for payment of the student levy and international insurance if applicable)."
"500,925",,"$16,000 stipend, plus tuition feesfor one year.","The Scholarship comprises a $16,000 stipend, plus tuition fees for one year (domestic fees for their thesis component only). Fees will be paiddirectly to the University by the Scholarships Office. International students other than those from Australia will be liable to pay the difference."
"500,926",One scholarship is to be awarded forthree years.,"NZ $27,000 per annum plus the PhD tuition fee covered for three years","One scholarship is to be awarded for three years.

The scholarship is funded by the Royal Society of New Zealand and provides a generous non-taxed living allowance of NZ $27,000 per annum plus the PhD tuition fee covered for three years."
"500,927",One scholarship is to be awarded forthree years.,"NZ $27,000 per annum, plus the PhD tuition fees for three years.","One scholarship is to be awarded for three years.

The scholarship is funded by the Royal Society of New Zealand and provides a generous non-taxed living allowance of NZ $27,000 per annum, plus the PhD tuition fee covered, for three years."
"500,928",One funded award available. However the project is open to applicants with alternative funding.,,Scholarship is for a 3 year period
"500,929",One scholarship is to be awarded forthree years.,"Full stipend of NZ$23,500 plus a contribution to fees of up to NZ$8,000 per annum for 3 years.","The project is accompanied with a full stipend of NZ$23,500 plus a contribution to fees of up to NZ$8,000 per annum for three years (students will be responsible for payment of the student levy and international insurance if applicable)."
"500,930",,"full stipend of NZ$23,500 plus a contribution to fees of up to NZ$8,000per annum for three years.","The project is accompanied with a full stipend of NZ$23,500 plus a contribution to fees of up to NZ$8,000 per annum for three years (students will be responsible for payment of the student levy and international insurance if applicable)."
"500,931",One,"Annual stipend of $25,000 Fees are not included","Up to three years.

Please note: Although tuition fees are not included Tuition fees for international PhD students are currently equivalent to those for domestic students."
"500,932",One,"Annual Stipend NZ$25,000 Tuition fees plus student levies","•	The tenure of the scholarship is for up to three years 
•	Annual renewal of the scholarship is dependent on the recipient maintaining satisfactory progress and meeting the reporting requirements of PhD candidature as outlined in the AUT Postgraduate Handbook http://www.aut.ac.nz/__data/assets/pdf_file/0010/189946/2015-PG-Handbook-web.pdf.
•	In exceptional circumstances, a recipient may apply to the Scholarships Office for a deferment of the scholarship."
"500,933",One,"Stipend of NZ$25,000 per annum andmeet the costs of tuition fees for three years.","One scholarship is to be awarded for three years.

The scholarship will provide a stipend of NZ$25,000 per annum and meet the costs of tuition fees for three years. The recipient will be responsible
for paying the student levy and for international insurance, if applicable."
"500,934",One,"Up to $8,000",One Year
"500,935","Initially, one award per year","Annual Course fees up to $12,000 Annual stipend $25,000",Scholarship will fund up to a maximum of four years (48 months) of full-time PhD study.
"500,936",,,1 Year
"500,937",,,"One year for a Masters and up to three years for a PhD.

Annual renewal of the scholarship for PhD candidates will be linked to satisfactory progress as measured by the submission of regular AUT six-monthly reports and meeting the milestones for the PhD outlined in the AUT postgraduate handbook."
"500,938",Up to 4,"Up to $2,500",One year
"500,939",Up to 10 annually,"$6,000 contribution towards fees",This scholarship is awarded for one year of full-time study only and subject to satisfactory academic performance during the year of tenure.
"500,940",One,"$25,000pa",To the end of 2017.
"500,941",One,"Annual stipend $10,000",Three year scholarship.
"500,942",One,"$12,000",Up to one year
"500,943",One scholarship is available,One Scholarship is available,Commencement date in 2015 is negotiable.
"500,944",,,"The scholarship will provide a stipend of NZ$15,000 plus fees of up to NZ$8,000. The recipient will be responsible for paying the student levy and for international insurance, if applicable. International students will be responsible for the difference between the domestic and international student fees. One scholarship is to be awarded for one year."
"500,945",,,One scholarship is to be awarded for one year.
"500,947",One,"Annual Stipend NZ$25,000Tuition feesmay be covered by the School.",Up to three years
"500,948",Varies,Up to $3500 pa,Up to three years
"500,949",Varies,"Up to $2,500pa",Up to 2 years (please refer to regulations)
"500,950",Two awards are available,Approximately $400 (subject to fund available),One year
"500,951",One or two,"Annual stipend $28,000Contribution towards fees $6,000pa",Thirty-four months
"500,952",Depends on available funding,"Stipend of $10,000 and  tuition and student services fees","One year. There is no automatic renewal, successful applicants must reapply in subsequent years."
"500,953",One,"An annual stipend of  NZ$20,000.   Also see Additional Information.   Fees not included.",Up to three years.
"500,954",One,"$15,000pa",Three years
"500,955",Varies,"Up to $10,000 per annum plus compulsory fees",1 Year
"500,956",One,"Up to $25,000 per annum",Up to 3 years
"500,958",varies,Varies,1 July to 31 August 2015
"500,959",Apx 5 - dependant on funds available.,"$10,000 towards course fees. Conditions will apply.",One year.
"500,960",One,"Up to $5,000",One Year
"500,961",1,$5000 per annum,"The Scholarship value of up to $5000 per annum ($2,500 per semester) (as determined by the Trustees) will be paid for each year in which the award applies toward fees and course costs and for accommodation as each term commences."
"500,962",1 per year,Up to $5000 per annum,"The Scholarship value of up to $5000 per annum ($2,500 per semester) (as determined by the Trustees) will be paid for each year in which the award applies toward fees and course costs and for accommodation as each term commences."
"500,963",One,"Up to $5,000 per annum","The scholarship value of up to $5,000.00 per annum (as determined by the Trustees), will be paid for each year in which the award applies toward fees and course costs and for accommodation as each term commences. 

The scholarship is available for up to two consecutive years as determined by the Trustees and Fletcher Construction Company Ltd."
"500,964",One,"Up to $5,000.00 per annum","The scholarship value of up to $5,000.00 per annum (as determined by the Trustees), will be paid for each year in which the award applies toward fees and course costs and for accommodation as each term commences.

The scholarship is available for up to two consecutive years as determined by the Trustees and Barnes Beagley Doherr."
"500,966",One,"Up to $25,000  plus compulsory feescontribution of up to $7,000",One year
"500,967",Up to ten annually,"$6,000 contribution towards fees",The scholarship is awarded for a maximum of three years subject to the student passing all papers and maintaining a C+ average during their course of study. Academic progress will be monitored each semester.
"500,968",Up to 2 per year,"Up to $16,000",Varies
"500,969",One,"Annual value of $5,000","One Award with an annual value of $5,000 is available for the duration of the successful applicant's course or degree.

The Award is available for the study of one course or degree only.

The successful applicant will be receive $2,500 in December each year and the balance midway through the following year on receipt of satisfactory reports of the recipient's progress every six months."
"500,970",Up to 2,"Up to $4,000",One Year
"500,971",Up to 2,"Up to $5,000",One year
"500,972",One,"Up to $5,000",One year
"500,973",One,"An annual stipend of $25,000",Up to three years
"500,975",One scholarship is to be awarded forthree years.,"Stipend to cover living expenses of NZ$25,000 pa, plus tuition fees.","The Scholarship will provide a stipend to cover living expenses of NZ$25,000 pa, plus tuition fees (students will be responsible for payment of the student levy and international insurance if applicable)."
"600,216",,,1 year
"600,220",,,One year.
"600,224",Varies,"Up to $2,000 dependent upon the availability of funds.",One Year.
"600,228",,,
"600,230",,,Available every two years. One year
"600,242",One annually,Up to $4000 per annum,For up to 3 years
"600,243",One per annum,Subject to funds avalaible,Refer to Funder
"600,248",One,Subject to funds available,One Year
"600,252","A scholarship may be offered annually in each of the categories,subject to available funding.",See 'Additional Information',Up to one academic year.
"600,264",,,The scholarship is tenable for one year.
"600,266",Varies,"The Grants are variable and range from $900 up to $1,600.",One Year
"600,272",,,"The Scholarship may be held for up to four years provided the recipient continues in the course of study. However, as this Scholarship is awarded on academic merit, and is therefore contestable, the recipient must reapply and be considered with other applicants for the award."
"600,273",Nine - nationally,"$5,000",One year
"600,275",One,The Scholarship will have a total value of $5000 towards the annual cost of a double room at Weir House,"The Scholarship is tenable for one year only. Although Scholarship recipients may hold this and other awards simultaneously, the Scholarship may not be held together with any other Accommodation Scholarship."
"600,287",Two,$1000.00,"The scholarships are tenable for one year, however previous recipients may apply for the scholarship in future years."
"600,293",One,Subject to funds available,One Year
"600,295",One,"up to $3,000",1 Year
"600,311",,Up to $1000.00,
"600,316",,,One year
"600,319",,,One year
"600,329",,,One Year
"600,331",400,"$5,000 (with up to 20 scholarships valued at $20,000 over three years)",One year.
"600,335",,,One year
"600,342",1 project per annum of 2 students with each receiving a scholarship of upto $7500 per annum.,,12 months
"600,354",,,One year
"600,357",,,One Year
"600,366",Up to 70,"$5,000 (with 5 scholarships valued at $20,000 over three years)",One year.
"600,368",30,"$15,000 plus domestic tuition fees",One year
"600,371",,,One Year
"600,383",Two or more,"Up to $3,500",1 Year
"600,391",,,One Year
"600,392",Four,see 'Additional Information',"1 Scholarships for two seasons
2 Scholarships for one season"
"600,418",2,"AU$10,000",Tenable for 1 year at any New Zealand or Australian University.
"600,420",,,
"600,430",,,"Scholarships will be awarded as tenable for 1 or 2 years. If tenable for 2 years, the second year's funding will be dependent on a report of passes in the first year."
"600,440",One,"$2,000 to $2,500(Subject to funds available)",One Year
"600,466",,,
"600,469",One,"up to $1,000",One Year
"600,471",One,"up to $1,000",One Year
"600,474",,,The field research supported by an award must be carried out in the year following the year of application. The award must support research taking place over a minimum period of four weeks.
"600,476",,,NA
"600,481",,,Masters - up to two years
"600,493",1,"$12,000 - $15,000 (Dependent on interest income)",One Year
"600,503",,,One Year
"600,510",,,One year
"600,514",up to 10,"$12,500 Masters by thesis Up to $5,000 Honours Up to $5,000 Masters by coursework",One year
"600,518",1,"$5,000",One year
"600,519",,,One year
"600,527",Varies,see 'Additional Information',One Year
"600,528",,,One Year
"600,530",Varies,See 'Additional Information',One Year
"600,535",,,Up to 2 years
"600,539",Two,"$2,000 each",One year
"600,540",,,One year
"600,542",,,The Honours Scholarship may be held for one year. The Undergraduate Scholarship may be held for more than one year of undergraduate study provided the student demonstrates
"600,553",Varies,"$5,000 each",One Year
"600,554",Varies,see 'Additional Information',"    The award period for each degree/study program is as follows:  

   1.Undergraduate program: maximum 4 years.
   2.Master's program: maximum 2 years.
   3.Doctoral program: maximum 3 years.
   4.LEP: maximum 1 year."
"600,555",Varies,"A stipend of NT$25,000 (approximately US@790) is to be offered to a recipient by month.","The following are four options for a recipient to choose from, regarding the award periods:
One year
Nine months
Six months
Three months
A recipient is also to be allowed to select an award period of two months, if his/her intended Mandarin training center offers a session for a term of two months."
"600,556",,,Short Term
"600,557",One per annum,"$2,000 Paid in installments",One Year
"600,564",,,One year
"600,567",,,One Year
"600,568",Three,Income from the capital fund will var,The Scholarship may be held for up to three years providing an average A- (approximately a 7 grade point average)is maintained.
"600,573",,,The summer semester
"600,575",,,One year
"600,588",Up to six,"$5,000 each",One year
"800,010",,,"One year.

Recipients of first and second year grants will be considered for further assistance on application."
"800,017",,,1 Year
"800,023",One each year.,"$6,000.",One year.
"800,028",Two,"$1,000 each",One year.
"800,031",Varies,See any 'Other information',One year.
"800,034",One each year.,"$1,000 payable in one lump sum",Scholarship paid in one lump sum
"800,035",Varies,see 'Additional Information',"One year for a master's thesis and, one year for up to three years for a doctoral thesis. 
* Subsequent years' funding will be considered on provision of a satisfactory progress report being made and an application for funding received."
"800,036",,"$2,600 based on a 10 week course.",Funding allows approximately ten weeks research.
"800,040",One in each category,refer to 'Additional Information',Two years.
"800,042",Varies,See additional information.,"Varies with research project.  Mostly for a three year period.
Fast- Starts are available for two years only. (limited value of $50,000 per annum.)"
"800,046",Varies,"Between $1,000 to $3,000 per suitable application, dependent upon the number of applicants.",One year.
"800,049",,,Up to two years only
"800,050",Approx 20 - 25 residential fellowships,see 'Additional Information',"Fellows are expected to be in residence for the entire U.S. academic year (early September through May, i.e., nine months), although a few fellowships are occasionally awarded for shorter periods with a minimum of four months. The Center does not award fellowships for the summer months (June, July, August). Fellowships cannot be deferred, and extensions into the summer months have not been possible in recent years."
"800,054",Number of grants given varies with funds available.,"Up to $1,000.00 depending on the need and cost of the course being undertaken.",Scholarships are awarded for a year but can be reapplied for.
"800,062",Varies each year,Minimum of $500,1 Year
"800,067",,"$1,500 in first year, increasing to $2,500 in second year and to $3,500 in the final year of study.",The scholarship will be continued for the original holder up to honours level (4th year) providing the holder continues to perform to the required standard.
"800,072",Four.,"Up to $1,000 each.",Scholarships awarded for one year only. They are not transferable from one year to another.
"800,076",,,One year. Candidates may reapply for further years.
"800,078",,,One year
"800,079",,,One year
"800,085",Varies.,Between $2500 - $3000,One year.
"800,086",,,Every term of study subject to satisfactory exam results.
"800,087","Varies - normally three per year (two university, one polytechnic).",Up to $1500 for University and $750 for Polytechnic,One year
"800,092",,,varies according to circumstances
"800,093",Varies,Approx $500,1 Year
"800,098",,,Annually
"800,100",,,varies according to circumstances
"800,101",,,One year
"800,104",,,Not applicable.
"800,105",,,1 Year
"800,106",,,Annual.
"800,109",,,1 Year
"800,113",,,One year.
"800,117",One each year.,"$3,000 max value paid work at EIT.",One year.
"800,118",Refer to application organisation.,"Up to $3,000.",Annual award.
"800,124",Refer to eligibility section,$1000 each,One year
"800,128",,,"One year, Applicants must submit a new application each year."
"800,136",,"EUR 2,650 per month - experienced scientists 3,150 EUR","Research periods may be requested for periods of between six and twenty-four months.

Part of the period covered by the fellowship may be spent at research insititutes in other European countries (except in research fellows' home countries) if this is essential for academic reasons."
"800,137",Up to 100 Awards are granted annually.,"EUR 60,000",6 to 12 months
"800,139",,,6 - 24 months
"800,148",Varies,Contribute  towards Travel and Accommodation,Four to Eight Weeks
"800,151",Refer to application organisation,Refer to application organisation,Check with contact organisation
"800,171",Varies.,Varies by level,One Year
"800,184",Two,$750 each to assist with second semester programme fees.,One Semester
"800,185",30,"$1,000",One Year
"800,193",Three,"$10,000 per year",Provided for up to five years depending on the term of study.
"800,200",,,One Year
"800,201",Determined by Trustees,Determined yearly,1 year
"800,202",,,"One Year. 
• Applicants must submit a new application each year."
"800,205",Varies,$500.00,One Year
"800,207",,,1 Year
"800,208",One.,"$5,000",Up to 3 years (subject to conditions)
"800,216",Ten,"$1,000",1 Year
"800,217",9 (General) 13 (Targeted) 1 or more (Papatipu Runanga),General  $1500.00 Targeted Scholarships $1500.00 Papatipu Runanga $1500.00,One Year.
"800,238",The bursary funds may be allocated to one or more recipient(s).,"$1,500.",One year.
"800,239",One,"$1,000",One year.
"800,240",1 each year.,"Up to $1,000",One year
"800,245",,,"One year (MForSc), One - Two years (PhD).

In either case a scholarship may be extended for a further year, on the recommendation of the Academic Board."
"800,247",One.,"Maximum individual grant is $10,000 This figure can be altered if deemed necessary by committee.",One year
"800,255",varies according to circumstances,see 'additional information',8 Weeks
"800,259",,,1 Year
"800,270",Varies,750 Euro per month and subsidiary allowances,One academic year
"800,271",,Depending on academic status betw. 2000-2300 Euro per month and subsidiary allowances.,1-3 months
"800,272",Applications for research funding every two years.,See additional information,Refer to Funder
"800,276",Varies .,"$13,000 stipend per annum (masters).$20,000 stipend per annum (PhD).  Domestic tuition fee waiver","12 months  - Masters
36 months - PhD"
"800,282",Refer to application organisation.,Refer to application organisation.,"2 years masters program , 3 years doctoral program (with possible 6 month ext)"
"800,284",Varies,"Up to a maximum of $3,000 towards incidental expenses.",One year
"800,285",1,"$2,000.",3 months (from December to February inclusive).
"800,286",Normally 1 each year.,see 'Additional Information',"Masters 1 year
Doctoral no more than 3 years"
"800,293",One,Refer to 'Additional Information',"1 Year (Masters)
3 Years (PhD)"
"800,294",Varies,Return airfares and a suitable remuneration.,Tenure is initially one year. May be renewed for up to a maximum of three years.
"800,300",Varies - the scholarship will be offered subject to available funds.,refer 'Additional Information',1 Year (Masters). 3 years (PhD)
"800,307",100,$19616.00 plus allowances.,Tenure is for up to two years for masters and up to three years for PhD or professional doctorate.
"800,309",25 to 30 each year.,Covers tuition fees,3 years for Doctor of Philosophy and 2 years for a Master of Philosophy
"800,319",Varies.,No set upper limit to grant application.,One Year
"800,327",Varies.,refer 'Additional Information',"Tenure by a Master's degree student is for one year, or until the thesis is submitted, (whichever period is the shorter).

A shorter period of tenure shall be awarded in cases where four months or more of registration as a candidate for the degree have already been completed at the time of the award."
"800,328",Varies.,refer 'Additional Information',"Tenure of a Postgraduate Scholarship by a PhD student is for three years, or until the thesis is submitted (whichever period is the shorter), subject to the provision of satisfactory Annual PhD Progress Reports by the Department in which the student is registered. A shorter period of tenure shall be awarded in cases where six months or more of registration as a candidate for the degree have already been completed at the time of the award.

Overseas tenure of a Postgraduate Scholarship is not normally permitted. In exceptional circumstances, a period of up to one year's overseas tenure may be granted by the Deputy Vice Chancellor, Research and International"
"800,329",varies,$600,3 years.
"800,330",,,1 year.
"800,331",Three,"$5,000",One Year
"800,340",Up to 20,$500,One year.
"800,342",One,"$5,000",One Year
"800,344",Refer to application organisation.,"Between $2,000 and $7,000 each year.",The scholarships are normally tenable for three years.
"800,353",One,"$20,000",2-3 years.
"800,354",Varies according to circumstances.,"Funding grants of about $1,000 perapplication will be allocated.",One year
"800,355",Varies according to circumstances.,see 'Additional Information',"Senior Fellowships Term: 3 to 12 months
Postdoctoral Fellowships Term: 3 to 12 months
Predoctoral Fellowships Term: 3 to 12 month
Graduate Student Fellowships Term: 10 weeks.
Latino Studies Fellowship Term: 3 to 12 months with the opportunity to spend up to a third of the time in the field but not at the home institution."
"800,359",Six full scholarships.,"Maintenance grant of GBP11,500, university and college fees, and partial payment of travel expenses.",The awards are tenable for normal duration of the course of study subject to satisfactory academic progress.
"800,367",Approximately 220 each year.,See 'Additional Information',"Tenable for a maximum of two years at Masters level and three and a half years at PhD Level, subject to satisfactory progress."
"800,370",,,1 year
"800,371",One each year.,"$1,500.",One year.
"800,376",Varies - the scholarship will be offered subject to available funds,"$2,000 per annum.",One Year
"800,378",Varies according to circumstances.,"The average for grants is from $5000to $7000. Grants up to $10,000 will be considered.",1-3 months.
"800,384",One,"$2,500",1 Year
"800,386",One each year.,Varies,One year.
"800,392","There are at least three bursaries, at least one must be offered to a woman.","$3,500 per annum","The tenure of each bursary shall be for three years, provided that, on the recommendation of the Academic Board, the Council may at its discretion
a)  Extend the term of any bursary for an additional year or;
b)  Terminate the bursary at the end of the first or of the second year, on having received from the board an unfavourable report on the conduct and progress of the bursary."
"800,394",Two,"$2,000 per annum",1 Year
"800,400",Varies,Varies,"Awards will be one off and for one year, however awards to cover multiple years of study can be considered by Principals but shall be for no more than four years."
"800,401",Up to four each year.,"$2,000 each year.","3 years, subject to satisfactory academic progress."
"800,402","Two each year. One at 300-level and one at 400,500 600 level This excludes Masters","$4,500 towards tuition fees",One year only.
"800,404",,,One year.
"800,405",,,One year.
"800,409",,,One Year
"800,410",,,"One year for students enrolled for BFA (Hons), BA (Hons), MFA, or MA (Part I or II). Up to three years for students enrolled for PhD."
